genus,gonality,torsion,ranks,scrollar invariants,ak,bk,n,ell
16,3,"[0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8, 10, 11, 13, 14]","{0: 0, 1: 7, 2: 18}",2,2,10,3
16,3,"[0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8, 9, 11, 12, 14]","{0: 0, 1: 7, 2: 18}",2,3,10,4
16,3,"[0, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8, 9, 11, 12, 14]","{0: 0, 1: 7, 2: 18}",2,4,10,4
16,3,"[0, 3, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 10, 12, 14]","{0: 0, 1: 7, 2: 18}",2,5,10,5
16,3,"[0, 3, 3, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 10, 12, 14]","{0: 0, 1: 7, 2: 18}",2,6,10,5
16,3,"[0, 3, 3, 3, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 8, 10, 11]","{0: 0, 1: 8, 2: 18}",2,7,9,6
16,3,"[0, 3, 3, 3, 3, 3, 0, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 8, 10, 11]","{0: 0, 1: 8, 2: 18}",2,8,9,6
16,3,"[0, 3, 3, 3, 3, 3, 3, 0, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 8, 9, 11]","{0: 0, 1: 8, 2: 18}",2,9,9,7
16,3,"[0, 3, 3, 3, 3, 3, 3, 3, 0, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 8, 9, 11]","{0: 0, 1: 8, 2: 18}",2,10,9,7
16,3,"[0, 3, 3, 3, 3, 3, 3, 3, 3, 0, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 11]","{0: 0, 1: 8, 2: 18}",2,11,9,8
16,3,"[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 11]","{0: 0, 1: 8, 2: 18}",2,12,9,8
16,3,"[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","{0: 0, 1: 9, 2: 18}",2,13,8,8
16,3,"[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","{0: 0, 1: 9, 2: 18}",2,14,8,8
