genus,gonality,torsion,ranks,scrollar invariants,ak,bk,n,ell
12,3,"[0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8, 10, 12]","{0: 0, 1: 5, 2: 14}",2,2,8,3
12,3,"[0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8, 9]","{0: 0, 1: 6, 2: 14}",2,3,7,4
12,3,"[0, 3, 0, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8, 9]","{0: 0, 1: 6, 2: 14}",2,4,7,4
12,3,"[0, 3, 3, 0, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9]","{0: 0, 1: 6, 2: 14}",2,5,7,5
12,3,"[0, 3, 3, 3, 0, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9]","{0: 0, 1: 6, 2: 14}",2,6,7,5
12,3,"[0, 3, 3, 3, 3, 0, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 9]","{0: 0, 1: 6, 2: 14}",2,7,7,6
12,3,"[0, 3, 3, 3, 3, 3, 0, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 9]","{0: 0, 1: 6, 2: 14}",2,8,7,6
12,3,"[0, 3, 3, 3, 3, 3, 3, 0, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6]","{0: 0, 1: 7, 2: 14}",2,9,6,6
12,3,"[0, 3, 3, 3, 3, 3, 3, 3, 0, 2, 0]","[0, 1, 2, 3, 4, 5, 6]","{0: 0, 1: 7, 2: 14}",2,10,6,6
12,3,"[0, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0]","[0, 1, 2, 3, 4, 5, 6]","{0: 0, 1: 7, 2: 14}",2,11,6,6
